title_id,newspaper_title,state,place_id,place,latitude,longitude
155,"Alexandra and Yea Standard, Gobur, Thornton and Acheron Express (Vic. : 1877 - 1908)",VIC,VIC103488,Yea,-37.2778802,145.4062115
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)",VIC,VIC100121,Acheron,-37.270525,145.7040751
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)",VIC,VIC100137,Alexandra,-37.1965757,145.7417406
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)",VIC,VIC101319,Gobur,-37.0102086,145.623804
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)",VIC,VIC103010,Thornton,-37.265313,145.8156473
154,"Alexandra and Yea Standard, Thornton, Gobur and Acheron Express (Vic. : 1877)",VIC,VIC103488,Yea,-37.2778802,145.4062115
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC100121,Acheron,-37.270525,145.7040751
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC100137,Alexandra,-37.1965757,145.7417406
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC101319,Gobur,-37.0102086,145.623804
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC102906,Taggerty,-37.3491403,145.718012
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC103010,Thornton,-37.265313,145.8156473
157,"Alexandra Standard and Yarck, Gobur, Thornton, Taggerty and Acheron Express (Vic. : 1949 - 1954)",VIC,VIC103472,Yarck,-37.089722,145.6110035
153,Alexandra Times (Vic. : 1868 - 1877),VIC,VIC100137,Alexandra,-37.1965757,145.7417406
533,Alpine Observer and North-Eastern Herald (Vic. : 1916 - 1918),VIC,VIC100495,Bright,-36.7026055,147.0318895
754,Ararat Chronicle and Willaura and Lake Bolac Districts Recorder (Vic. : 1914 - 1918),VIC,VIC100176,Ararat,-37.2658786,142.9797323
754,Ararat Chronicle and Willaura and Lake Bolac Districts Recorder (Vic. : 1914 - 1918),VIC,VIC101753,Lake Bolac,-37.6984698,142.8354655
754,Ararat Chronicle and Willaura and Lake Bolac Districts Recorder (Vic. : 1914 - 1918),VIC,VIC103335,Willaura,-37.5249805,142.6893305
414,Argyle Liberal and District Recorder (NSW : 1903 - 1930),NSW,NSW80032,Argyle,-30.5799,151.8437
1101,Ariah Park News (NSW : 1923 - 1926),NSW,NSW931,Ariah Park,-34.3318,147.2179
47,"Army News (Darwin, NT : 1941 - 1946)",NT,NT12218,Darwin,-12.461534,130.842442
439,"Arrow (Sydney, NSW : 1916 - 1933)",NSW,NSW79218,Sydney,-33.8732,151.2096
48,"Australasian Chronicle (Sydney, NSW : 1839 - 1843)",NSW,NSW79218,Sydney,-33.8732,151.2096
162,"Australian Band of Hope Journal (Sydney, NSW : 1857 - 1857)",NSW,NSW79218,Sydney,-33.8732,151.2096
1166,Australian Christian Commonwealth (SA : 1901 - 1940),SA,SA0055886,Adelaide,-34.92869,138.60102
52,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",NSW,NSW79218,Sydney,-33.8732,151.2096
1150,"Australische Zeitung (Adelaide, SA : 1875 - 1916)",SA,SA0055886,Adelaide,-34.92869,138.60102
755,Avoca Free Press and Farmers' and Miners' Journal (Vic. : 1900; 1914 - 1918),VIC,VIC100213,Avoca,-37.069616,143.4729
756,Avoca Mail (Vic. : 1863 - 1900; 1915 - 1918),VIC,VIC100213,Avoca,-37.069616,143.4729
240,Bairnsdale Advertiser and Tambo and Omeo Chronicle (Vic. : 1882 - 1918),VIC,VIC100231,Bairnsdale,-37.8561757,147.5868482
240,Bairnsdale Advertiser and Tambo and Omeo Chronicle (Vic. : 1882 - 1918),VIC,VIC102427,Omeo,-37.1041048,147.5955659
534,Ballan Times (Vic. : 1914 - 1918),VIC,VIC100237,Ballan,-37.6038261,144.2197579
671,Balmain Observer and Western Suburbs Advertiser (NSW : 1884 - 1907),NSW,NSW2341,Balmain,-33.8485,151.1679
1066,"Balonne Beacon (St. George, Qld. : 1909 - 1954)",QLD,QLD42683,St George,-27.97732163,148.638092
635,"Barrier Daily Truth (Broken Hill, NSW : 1908; 1941 - 1954)",NSW,NSW82737,Broken Hill,-31.9652,141.4512
53,"Barrier Miner (Broken Hill, NSW : 1888 - 1954)",NSW,NSW82737,Broken Hill,-31.9652,141.4512
54,Bathurst Advocate (NSW : 1848 - 1849),NSW,NSW5747,Bathurst,-32.9318,151.5679
55,Bathurst Free Press (NSW : 1849 - 1851),NSW,NSW5747,Bathurst,-32.9318,151.5679
56,Bathurst Free Press and Mining Journal (NSW : 1851 - 1904),NSW,NSW5747,Bathurst,-32.9318,151.5679
757,Bealiba Times (Vic. : 1915 - 1918),VIC,VIC100315,Bealiba,-36.7270662,143.5580242
57,Bell's Life in Sydney and Sporting Chronicle (NSW : 1860 - 1870),NSW,NSW79218,Sydney,-33.8732,151.2096
58,Bell's Life in Sydney and Sporting Reviewer (NSW : 1845 - 1860),NSW,NSW79218,Sydney,-33.8732,151.2096
1248,"Bell's Life in Tasmania (Hobart Town, Tas. : 1859)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
959,"Bell's Life in Victoria and Sporting Chronicle (Melbourne, Vic. : 1857 - 1868)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
216,Benalla Ensign (Vic. : 1938 - 1954),VIC,VIC100344,Benalla,-36.571109,146.006804
717,Benalla Standard (Vic. : 1901 - 1925),VIC,VIC100344,Benalla,-36.571109,146.006804
346,Bendigo Advertiser (Vic. : 1855 - 1918),VIC,VIC100348,Bendigo,-36.7561799,144.280152
315,"Bendigonian (Bendigo, Vic. : 1914 - 1918)",VIC,VIC100348,Bendigo,-36.7561799,144.280152
1238,"Bent's News and Tasmanian Three-Penny Register (Hobart Town, Tas. : 1836 - 1837)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
535,Berringa Herald (Vic. : 1914 - 1918),VIC,VIC100359,Berringa,-37.7713596,143.676833
320,"Berwick Shire News and Pakenham and Cranbourne Gazette (Berwick, Vic. : 1914 - 1917)",VIC,VIC100365,Berwick,-38.0420973,145.3486427
320,"Berwick Shire News and Pakenham and Cranbourne Gazette (Berwick, Vic. : 1914 - 1917)",VIC,VIC100865,Cranbourne,-38.1066429,145.2791878
320,"Berwick Shire News and Pakenham and Cranbourne Gazette (Berwick, Vic. : 1914 - 1917)",VIC,VIC102444,Pakenham,-38.0710585,145.487798
785,Beulah Record and Mallee Advocate (Vic. : 1914),VIC,VIC100373,Beulah,-35.9147698,142.3948062
786,Beulah Standard and Mallee and Wimmera Advertiser (Vic. : 1916 - 1918),VIC,VIC100373,Beulah,-35.9147698,142.3948062
536,Birchip Advertiser and Watchem Sentinel (Vic. : 1914 - 1918),VIC,VIC100390,Birchip,-35.9973335,142.9254895
536,Birchip Advertiser and Watchem Sentinel (Vic. : 1914 - 1918),VIC,VIC103253,Watchem,-36.1493691,142.8741795
760,Birregurra Times (Vic. : 1918),VIC,VIC100394,Birregurra,-38.3330036,143.8959222
912,"Blackheath Beacon (Katoomba, NSW : 1930 - 1931)",NSW,NSW82134,Blackheath,-33.6341,150.2848
912,"Blackheath Beacon (Katoomba, NSW : 1930 - 1931)",NSW,NSW82140,Katoomba,-33.7085,150.3021
802,Blayney West Macquarie (NSW : 1949),NSW,NSW80943,Blayney,-33.5318,149.2512
908,"Blue Mountain Gazette (Katoomba, NSW : 1903 - 1904)",NSW,NSW5477,Blue Mountain,-33.7152,150.4346
908,"Blue Mountain Gazette (Katoomba, NSW : 1903 - 1904)",NSW,NSW82140,Katoomba,-33.7085,150.3021
910,"Blue Mountains Daily (Katoomba, NSW : 1939)",NSW,NSW5465,Blue Mountains,-33.7485,150.5012
910,"Blue Mountains Daily (Katoomba, NSW : 1939)",NSW,NSW82140,Katoomba,-33.7085,150.3021
1168,Blyth Agriculturist (SA : 1908 - 1954),SA,SA0007842,Blyth,-33.84594,138.48959
636,Bombala Times and Manaro and Coast Districts General Advertiser  (NSW : 1899 - 1905),NSW,NSW82274,Bombala,-36.9152,149.2346
462,Boorowa News (NSW : 1951 - 1954),NSW,NSW7812,Boorowa,-34.4399,148.7204
537,Boort Standard and Quambatook Herald (Vic. : 1914 - 1915),VIC,VIC100454,Boort,-36.1235835,143.7514885
537,Boort Standard and Quambatook Herald (Vic. : 1914 - 1915),VIC,VIC102568,Quambatook,-35.8418237,143.5263952
1162,"Border Chronicle (Bordertown, SA : 1908 - 1950)",SA,SA0008553,Bordertown,-36.31032742,140.7715935
276,"Border Watch (Mount Gambier, SA : 1861 - 1954)",SA,SA0046869,Mount Gambier,-37.82411,140.77981
899,Bowen Independent (Qld. : 1911 - 1954),QLD,QLD47858,Bowen,-20.1325,148.18028
523,Bowral and Robertson Free Press (NSW : 1901),NSW,NSW82916,Bowral,-34.4818,150.4179
523,Bowral and Robertson Free Press (NSW : 1901),NSW,NSW82929,Robertson,-34.5902,150.5929
524,Bowral Free Press (NSW : 1901 - 1906),NSW,NSW82916,Bowral,-34.4818,150.4179
522,Bowral Free Press and Berrima District Intelligencer (NSW : 1884 - 1901),NSW,NSW4389,Berrima,-34.4818,150.3346
522,Bowral Free Press and Berrima District Intelligencer (NSW : 1884 - 1901),NSW,NSW82916,Bowral,-34.4818,150.4179
521,"Bowral Free Press and Mittagong, Burrawang and Kangaloon Advocate (NSW : 1883 - 1884)",NSW,NSW82916,Bowral,-34.4818,150.4179
521,"Bowral Free Press and Mittagong, Burrawang and Kangaloon Advocate (NSW : 1883 - 1884)",NSW,NSW82920,Burrawang,-34.5853,150.5115
521,"Bowral Free Press and Mittagong, Burrawang and Kangaloon Advocate (NSW : 1883 - 1884)",NSW,NSW82926,Kangaloon,-34.546,150.544
521,"Bowral Free Press and Mittagong, Burrawang and Kangaloon Advocate (NSW : 1883 - 1884)",NSW,NSW82927,Mittagong,-34.4485,150.4512
114,Braidwood Independent (NSW : 1867),NSW,NSW81067,Braidwood,-35.4485,149.8012
245,Brighton Southern Cross (Vic. : 1896 - 1918),VIC,VIC100496,Brighton,-37.9080308,144.994357
1055,Brisbane Telegraph (Qld. : 1948 - 1954),QLD,QLD4555,Brisbane,-27.46784774,153.0280133
294,Broadmeadows Camp Sentry (Vic. : 1917),VIC,VIC100508,Broadmeadows,-37.6818488,144.9284041
1106,Bruce Rock Post and Corrigin and Narembeen Guardian (WA : 1924 - 1948),WA,WA100186239,Bruce Rock,-31.83403,118.1568
1106,Bruce Rock Post and Corrigin and Narembeen Guardian (WA : 1924 - 1948),WA,WA100187474,Corrigin,-32.3307,117.9026
1106,Bruce Rock Post and Corrigin and Narembeen Guardian (WA : 1924 - 1948),WA,WA100190756,Narembeen,-32.06278,118.3944
1107,Bruce Rock Post and Corrigin Guardian (WA : 1917 - 1924),WA,WA100186239,Bruce Rock,-31.83403,118.1568
1107,Bruce Rock Post and Corrigin Guardian (WA : 1917 - 1924),WA,WA100187474,Corrigin,-32.3307,117.9026
1108,"Bruce Rock-Corrigin Post, Narembeen-Kondinin Guardian (WA : 1948 - 1954)",WA,WA100186239,Bruce Rock,-31.83403,118.1568
1108,"Bruce Rock-Corrigin Post, Narembeen-Kondinin Guardian (WA : 1948 - 1954)",WA,WA100187474,Corrigin,-32.3307,117.9026
1108,"Bruce Rock-Corrigin Post, Narembeen-Kondinin Guardian (WA : 1948 - 1954)",WA,WA100186098,Kondinin,-32.42598,118.3243
1108,"Bruce Rock-Corrigin Post, Narembeen-Kondinin Guardian (WA : 1948 - 1954)",WA,WA100190756,Narembeen,-32.06278,118.3944
293,Brunswick and Coburg Leader (Vic. : 1914 - 1918),VIC,VIC100526,Brunswick,-37.7666919,144.9628549
293,Brunswick and Coburg Leader (Vic. : 1914 - 1918),VIC,VIC100790,Coburg,-37.7383912,144.9821075
780,Brunswick and Coburg Star (Vic. : 1914 - 1916),VIC,VIC100526,Brunswick,-37.7666919,144.9628549
780,Brunswick and Coburg Star (Vic. : 1914 - 1916),VIC,VIC100790,Coburg,-37.7383912,144.9821075
538,Bruthen and Tambo Times (Vic. : 1914 - 1919),VIC,VIC100529,Bruthen,-37.7076771,147.8619329
345,Bunbury Herald (WA : 1892 - 1919),WA,WA100171596,Bunbury,-33.34019,115.6421
876,Bundarra and Tingha Advocate (NSW : 1900 - 1906),NSW,NSW68255,Bundarra,-30.1652,151.0846
876,Bundarra and Tingha Advocate (NSW : 1900 - 1906),NSW,NSW59077,Tingha,-29.9485,151.2012
371,"Bunyip (Gawler, SA : 1863 - 1954)",SA,SA0025581,Gawler,-34.59606,138.74497
539,Bunyip Free Press and Berwick Shire Guardian (Vic. : 1914 - 1915),VIC,VIC100365,Berwick,-38.0420973,145.3486427
539,Bunyip Free Press and Berwick Shire Guardian (Vic. : 1914 - 1915),VIC,VIC100584,Bunyip,-38.1020505,145.7226577
59,Burra Record (SA : 1878 - 1954),SA,SA0082425,Burra,-33.66998561,138.9309797
62,Cairns Morning Post (Qld. : 1907 - 1909),QLD,QLD5683,Cairns,-16.92207648,145.7758208
60,Cairns Post (Qld. : 1884 - 1893),QLD,QLD5683,Cairns,-16.92207648,145.7758208
61,Cairns Post (Qld. : 1909 - 1954),QLD,QLD5683,Cairns,-16.92207648,145.7758208
1111,"Call (Perth, WA : 1920 - 1927)",WA,WA100137118,Perth,-31.95184,115.8587
1112,"Call (Perth, WA : 1945 - 1953)",WA,WA100137118,Perth,-31.95184,115.8587
1109,"Call and Bailey's Weekly (Perth, WA : 1940-1945)",WA,WA100137118,Perth,-31.95184,115.8587
1110,"Call and WA Sportsman (Perth, WA : 1918 - 1920)",WA,WA100137118,Perth,-31.95184,115.8587
1113,"Call News-Pictorial (Perth, WA : 1927 - 1931)",WA,WA100137118,Perth,-31.95184,115.8587
750,Camberwell and Hawthorn Advertiser (Vic. : 1914 - 1918),VIC,VIC100632,Camberwell,-37.8390677,145.0729493
750,Camberwell and Hawthorn Advertiser (Vic. : 1914 - 1918),VIC,VIC101436,Hawthorn,-37.8286165,145.0306273
638,Camden News (NSW : 1895 - 1954),NSW,NSW10726,Camden,-34.0591,150.6937
844,"Camp Chronicle (Midland Junction, WA : 1915 - 1918)",WA,WA100023082,Midland,-31.89472,115.9933
43,Camperdown Chronicle (Vic. : 1877 - 1954),VIC,VIC100641,Camperdown,-38.2425117,143.1529787
761,Camperdown Herald (Vic. : 1914 - 1918),VIC,VIC100641,Camperdown,-38.2425117,143.1529787
166,Canberra Community News (ACT : 1925 - 1927),ACT,ACT000175,Canberra,-35.29844,149.13454
165,Canberra Illustrated: A Quarterly Magazine  (ACT : 1925),ACT,ACT000175,Canberra,-35.29844,149.13454
427,Canowindra Star and Eugowra News (NSW : 1903 - 1907; 1910 - 1911; 1914 - 1922),NSW,NSW80915,Canowindra,-33.5338,148.6758
427,Canowindra Star and Eugowra News (NSW : 1903 - 1907; 1910 - 1911; 1914 - 1922),NSW,NSW82079,Eugowra,-33.4246,148.3618
744,Canowindra Star and Woodstock Recorder (NSW : 1902 - 1903),NSW,NSW80915,Canowindra,-33.5338,148.6758
744,Canowindra Star and Woodstock Recorder (NSW : 1902 - 1903),NSW,NSW80921,Woodstock,-33.7557,148.8776
767,Casterton Free Press and Glenelg Shire Advertiser (Vic. : 1915 - 1918),VIC,VIC100700,Casterton,-37.600279,141.3344705
540,Castlemaine Mail (Vic. : 1917 - 1918),VIC,VIC100703,Castlemaine,-37.0592568,144.2181305
710,"Catholic Freeman's Journal (Sydney, NSW : 1932 - 1942)",NSW,NSW79218,Sydney,-33.8732,151.2096
711,"Catholic Weekly (Sydney, NSW : 1942 - 1954)",NSW,NSW79218,Sydney,-33.8732,151.2096
63,"Centralian Advocate (Alice Springs, NT : 1947 - 1954)",NT,NT10219,Alice Springs,-23.6994,133.8807
870,"Champion (Melbourne, Vic. : 1895 - 1897)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
541,Chiltern and Howlong Times and Ovens Register (Vic. : 1914 - 1918),VIC,VIC100742,Chiltern,-36.1860905,146.6114475
541,Chiltern and Howlong Times and Ovens Register (Vic. : 1914 - 1918),VIC,VIC102438,Ovens,-36.6047079,146.784754
1186,"Chinese Republic News (Sydney, NSW : 1914 - 1937)",NSW,NSW79218,Sydney,-33.8732,151.2096
705,"Chinese Times (Melbourne, Vic. : 1902 - 1922)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
1167,Christian Colonist (SA : 1878 - 1894),SA,SA0055886,Adelaide,-34.92869,138.60102
291,"Chronicle (Adelaide, SA : 1895 - 1954)",SA,SA0055886,Adelaide,-34.92869,138.60102
286,Chronicle and North Coast Advertiser (Qld. : 1903 - 1922),QLD,QLD47231,Nambour,-26.62333,152.95944
847,"Chronicle, South Yarra Gazette, Toorak Times and Malvern Standard (Vic. : 1892 - 1893)",VIC,VIC101941,Malvern,-37.85842,145.0353651
847,"Chronicle, South Yarra Gazette, Toorak Times and Malvern Standard (Vic. : 1892 - 1893)",VIC,VIC102785,South Yarra,-37.8401619,144.9957168
847,"Chronicle, South Yarra Gazette, Toorak Times and Malvern Standard (Vic. : 1892 - 1893)",VIC,VIC103061,Toorak,-37.8410603,145.0179359
957,"Church of England Messenger (Melbourne, Vic. : 1905)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
857,"Circular Head Chronicle (Stanley, Tas. : 1906 - 1954)",TAS,TAS01253,Stanley,-40.75999832,145.2899933
996,"Citizen Soldier (Sydney, NSW : 1942)",NSW,NSW79218,Sydney,-33.8732,151.2096
104,"Clarence and Richmond Examiner (Grafton, NSW : 1859)",NSW,NSW12519,Clarence,-33.4735,150.2262
104,"Clarence and Richmond Examiner (Grafton, NSW : 1859)",NSW,NSW80326,Grafton,-29.6818,152.9346
104,"Clarence and Richmond Examiner (Grafton, NSW : 1859)",NSW,NSW82838,Richmond,-32.2402,148.6957
64,"Clarence and Richmond Examiner (Grafton, NSW : 1889 - 1915)",NSW,NSW12519,Clarence,-33.4735,150.2262
64,"Clarence and Richmond Examiner (Grafton, NSW : 1889 - 1915)",NSW,NSW80326,Grafton,-29.6818,152.9346
64,"Clarence and Richmond Examiner (Grafton, NSW : 1889 - 1915)",NSW,NSW82838,Richmond,-32.2402,148.6957
65,"Clarence and Richmond Examiner and New England Advertiser (Grafton, NSW : 1859 - 1889)",NSW,NSW12519,Clarence,-33.4735,150.2262
65,"Clarence and Richmond Examiner and New England Advertiser (Grafton, NSW : 1859 - 1889)",NSW,NSW80326,Grafton,-29.6818,152.9346
65,"Clarence and Richmond Examiner and New England Advertiser (Grafton, NSW : 1859 - 1889)",NSW,NSW82838,Richmond,-32.2402,148.6957
626,Clear Hills Standard and Daysdale and Saverneke Times (NSW : 1914),NSW,NSW82661,Daysdale,-35.6485,146.3012
833,Cloncurry Advocate (Qld. : 1931 - 1953),QLD,QLD44671,Cloncurry,-20.51666641,140.4016571
542,Clunes Guardian and Gazette (Vic. : 1914 - 1918),VIC,VIC100774,Clunes,-37.2877741,143.7887968
543,Cobden Times (Vic. : 1918),VIC,VIC100784,Cobden,-38.3328989,143.0876825
544,Cobden Times and Heytesbury Advertiser (Vic. : 1914 - 1918),VIC,VIC100784,Cobden,-38.3328989,143.0876825
545,Cobram Courier (Vic. : 1888 - 1954),VIC,VIC100785,Cobram,-35.9235969,145.6387575
989,Coffs Harbour Advocate (NSW : 1907 - 1942; 1946 - 1954),NSW,NSW13093,Coffs Harbour,-30.3152,153.1179
546,Cohuna Farmer's Weekly (Vic. : 1914 - 1918),VIC,VIC100800,Cohuna,-35.7753855,144.266929
763,Colac Reformer (Vic. : 1914 - 1918),VIC,VIC100803,Colac,-38.3096196,143.5889529
547,Coleraine Albion and Western Advertiser (Vic. : 1902; 1914 - 1918),VIC,VIC100810,Coleraine,-37.5836519,141.6936842
933,"Collie Mail (Perth, WA : 1914 - 1918)",WA,WA100191342,Collie,-33.35389,116.1522
933,"Collie Mail (Perth, WA : 1914 - 1918)",WA,WA100137118,Perth,-31.95184,115.8587
24,"Colonial Times (Hobart, Tas. : 1828 - 1857)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
23,"Colonial Times and Tasmanian Advertiser (Hobart, Tas. : 1825 - 1827)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
1013,"Commercial Journal and Advertiser (Sydney, NSW : 1835 - 1840)",NSW,NSW79218,Sydney,-33.8732,151.2096
1016,"Commercial Journal and General Advertiser (Sydney, NSW : 1845)",NSW,NSW79218,Sydney,-33.8732,151.2096
997,"Communist (Sydney, NSW : 1921 - 1923)",NSW,NSW79218,Sydney,-33.8732,151.2096
998,"Communist Review (Sydney, NSW : 1941 - 1943)",NSW,NSW79218,Sydney,-33.8732,151.2096
1188,"Construction (Sydney, NSW : 1938 - 1954)",NSW,NSW79218,Sydney,-33.8732,151.2096
449,"Construction and Local Government Journal (Sydney, NSW : 1913 - 1930)",NSW,NSW79218,Sydney,-33.8732,151.2096
630,"Construction and Real Estate Journal (Sydney, NSW : 1930 - 1938)",NSW,NSW79218,Sydney,-33.8732,151.2096
343,Coolgardie Miner (WA : 1913 - 1917),WA,WA100187240,Coolgardie,-30.94566,120.1753
1174,Coolgardie Miner (WA : 1935 - 1954),WA,WA100187240,Coolgardie,-30.94566,120.1753
1272,Coolgardie Mining Review (WA : 1895 - 1897),WA,WA100187240,Coolgardie,-30.94566,120.1753
639,Cootamundra Herald (NSW : 1877 - 1954),NSW,NSW14182,Cootamundra,-34.6485,148.0346
1264,"Cornwall Advertiser (Launceston, Tas. : 1870 - 1877)",TAS,TAS00961,Cornwall,-41.54999924,148.1399994
1264,"Cornwall Advertiser (Launceston, Tas. : 1870 - 1877)",TAS,TAS00338,Launceston,-41.43999863,147.1399994
548,Corryong Courier (Vic. : 1914 - 1918),VIC,VIC100850,Corryong,-36.1855142,147.8994435
676,"Country Life Stock and Station Journal (Sydney, NSW : 1924 - 1925)",NSW,NSW79218,Sydney,-33.8732,151.2096
895,"Countryman (Melbourne, Vic. : 1924 - 1929)",VIC,VIC102000,Melbourne,-37.8243016,144.9739883
420,Cowra Free Press (NSW : 1911 - 1921),NSW,NSW80920,Cowra,-33.8185,148.6579
549,Cressy and Lismore Pioneer and Western Plains Representative (Vic. : 1915 - 1918),VIC,VIC100875,Cressy,-38.0462868,143.6716475
549,Cressy and Lismore Pioneer and Western Plains Representative (Vic. : 1915 - 1918),VIC,VIC101857,Lismore,-37.9583046,143.3533165
550,Creswick Advertiser (Vic. : 1914 - 1918),VIC,VIC100879,Creswick,-37.4222042,143.8899377
1161,"Critic (Adelaide, SA : 1897-1924)",SA,SA0055886,Adelaide,-34.92869,138.60102
858,"Critic (Hobart, Tas. : 1892 - 1893)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
859,"Critic (Hobart, Tas. : 1907 - 1924)",TAS,TAS00752,Hobart,-42.88000107,147.3200073
1177,Crookwell Gazette (NSW : 1885 - 1954),NSW,NSW82907,Crookwell,-34.4568,149.4679
687,"Daily Advertiser (Wagga Wagga, NSW : 1911 - 1954)",NSW,NSW79253,Wagga Wagga,-35.1152,147.3679
641,"Daily Commercial News and Shipping List (Sydney, NSW : 1891 - 1954)",NSW,NSW79218,Sydney,-33.8732,151.2096
1005,"Daily Examiner (Grafton, NSW : 1915 - 1954)",NSW,NSW80326,Grafton,-29.6818,152.9346
